# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u_err	12:rho_err
60	2.5000000000000000e-01	0	0	-3	60	60	-4.2000000000000002e+00	-5.5511151231257827e-17	-5.5511151231257827e-17	6.1512306082613751e-58	1.2238819391298865e-55
60	2.5000000000000000e-01	0	0	-2	60	60	-4.1333333333333337e+00	-5.5511151231257827e-17	-5.5511151231257827e-17	5.8774431220576007e-59	9.4360730318583457e-57
60	2.5000000000000000e-01	0	0	-1	60	60	-4.0666666666666664e+00	-5.5511151231257827e-17	-5.5511151231257827e-17	4.5658149367818191e-61	5.4735659761108633e-59
60	2.5000000000000000e-01	0	0	0	60	60	-4.0000000000000000e+00	-5.5511151231257827e-17	-5.5511151231257827e-17	-5.9875157866314618e-62	-1.0908228048727785e-59
60	2.5000000000000000e-01	0	0	1	60	60	-3.9333333333333331e+00	-5.5511151231257827e-17	-5.5511151231257827e-17	4.5658149367445551e-61	5.4735659760539071e-59
60	2.5000000000000000e-01	0	0	2	60	60	-3.8666666666666667e+00	-5.5511151231257827e-17	-5.5511151231257827e-17	5.8774431220586159e-59	9.4360730318665445e-57
60	2.5000000000000000e-01	0	0	3	60	60	-3.7999999999999998e+00	-5.5511151231257827e-17	-5.5511151231257827e-17	6.1512306083032640e-58	1.2238819391351281e-55
60	2.5000000000000000e-01	0	0	4	60	60	-3.7333333333333334e+00	-5.5511151231257827e-17	-5.5511151231257827e-17	-6.9946119346431218e-56	-9.9855884858355882e-54
60	2.5000000000000000e-01	0	0	5	60	60	-3.6666666666666665e+00	-5.5511151231257827e-17	-5.5511151231257827e-17	-2.3013785677537115e-54	-3.5454813021629814e-52
60	2.5000000000000000e-01	0	0	6	60	60	-3.6000000000000001e+00	-5.5511151231257827e-17	-5.5511151231257827e-17	3.9251204531638362e-53	4.5969823955563554e-51
