# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u_err	12:rho_err
64	5.0000000000000000e-01	0	0	-3	32	32	-4.3750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.3174655830187820e-26	3.3497486974387037e-25
64	5.0000000000000000e-01	0	0	-2	32	32	-4.2500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.9270427696578528e-27	-2.6872450242176882e-25
64	5.0000000000000000e-01	0	0	-1	32	32	-4.1250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	7.0591476604224250e-29	1.1958684907157073e-27
64	5.0000000000000000e-01	0	0	0	32	32	-4.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	9.2111076645195314e-30	7.5828345152460475e-28
64	5.0000000000000000e-01	0	0	1	32	32	-3.8750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	7.0591476604224250e-29	1.1958684907157073e-27
64	5.0000000000000000e-01	0	0	2	32	32	-3.7500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.9270427696578528e-27	-2.6872450242176882e-25
64	5.0000000000000000e-01	0	0	3	32	32	-3.6250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.3174655830187820e-26	3.3497486974387037e-25
64	5.0000000000000000e-01	0	0	4	32	32	-3.5000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.4843853972665540e-24	1.4396086989911676e-22
64	5.0000000000000000e-01	0	0	5	32	32	-3.3750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.1724922391256025e-23	-5.2423235133062337e-22
64	5.0000000000000000e-01	0	0	6	32	32	-3.2500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.1891600615022494e-21	-5.9294672702859405e-20
64	5.0000000000000000e-01	0	0	7	32	32	-3.1250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.6123124919492089e-21	2.6503125827080252e-19
64	5.0000000000000000e-01	0	0	8	32	32	-3.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.3338505017783821e-19	1.8937755904101555e-17
64	5.0000000000000000e-01	0	0	9	32	32	-2.8750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2518156124424049e-18	-7.4131578240914391e-17
64	5.0000000000000000e-01	0	0	10	32	32	-2.7500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.1907317736227226e-16	-4.6690791798275478e-15
64	5.0000000000000000e-01	0	0	11	32	32	-2.6250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-4.7857103796363635e-16	9.8519884490406841e-15
64	5.0000000000000000e-01	0	0	12	32	32	-2.5000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.3732175058099442e-14	8.6269257334089097e-13
64	5.0000000000000000e-01	0	0	13	32	32	-2.3750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.5155855641731544e-13	6.6789533813468689e-13
64	5.0000000000000000e-01	0	0	14	32	32	-2.2500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.0764332395439200e-12	-1.0962847191679900e-10
64	5.0000000000000000e-01	0	0	15	32	32	-2.1250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.2696822983971510e-11	-5.2050740902080348e-10
64	5.0000000000000000e-01	0	0	16	32	32	-2.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.6358828063627985e-10	7.2003547563581293e-09
64	5.0000000000000000e-01	0	0	17	32	32	-1.8750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.0470691151553363e-09	8.5609451021744703e-08
