# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
192	1.0000000000000000e+00	0	0	-3	48	48	-4.2500000000000000e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.0427544901725779e-19	1.1555120190147879e-18
192	1.0000000000000000e+00	0	0	-2	48	48	-4.1666666666666670e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	4.8393079590581978e-21	6.4682542731043189e-19
192	1.0000000000000000e+00	0	0	-1	48	48	-4.0833333333333330e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-5.2109567950360903e-21	-7.7850133116303271e-20
192	1.0000000000000000e+00	0	0	0	48	48	-4.0000000000000000e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-3.8498086302242572e-23	-5.8552637317242649e-20
192	1.0000000000000000e+00	0	0	1	48	48	-3.9166666666666665e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-5.2109567950361445e-21	-7.7850133116297373e-20
192	1.0000000000000000e+00	0	0	2	48	48	-3.8333333333333335e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	4.8393079590594346e-21	6.4682542731045375e-19
192	1.0000000000000000e+00	0	0	3	48	48	-3.7500000000000000e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.0427544901725655e-19	1.1555120190146195e-18
192	1.0000000000000000e+00	0	0	4	48	48	-3.6666666666666665e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-1.5462395546257379e-19	-1.2748844777323206e-17
192	1.0000000000000000e+00	0	0	5	48	48	-3.5833333333333335e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-1.8681823942554493e-18	-1.5185562703463036e-17
192	1.0000000000000000e+00	0	0	6	48	48	-3.5000000000000000e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.4603050415857670e-18	2.3039050934799092e-16
192	1.0000000000000000e+00	0	0	7	48	48	-3.4166666666666665e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.2219946855569055e-17	2.1785293201344486e-16
192	1.0000000000000000e+00	0	0	8	48	48	-3.3333333333333335e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-6.1188296797312337e-17	-3.8398574276795464e-15
